Name,Platform,HasGuide,HasPlatinum,Difficulty,TimeToComplete,HasOnlineTrophies,Genre,Release(US),Guide
XCOM: Enemy Within,PS3,True,True,6,30,False,Strategy,2013-11-12,https://www.playstationtrophies.org/game/xcom-enemy-within/guide/
XCOM 2,PS4,True,True,9,100,False,Strategy,2016-09-27,https://www.playstationtrophies.org/game/xcom-2/guide/
Yaiba: Ninja Gaiden Z,PS3,True,True,9,30,False,Action,2014-03-18,https://www.playstationtrophies.org/game/yaiba-ninja-gaiden-z/guide/
Yakuza 4,PS3,True,True,5,90,True,Action,2011-03-15,https://www.playstationtrophies.org/game/yakuza-4/guide/
Yakuza 5,PS3(PSN),True,True,6,150,False,Action,n/a,https://www.playstationtrophies.org/game/yakuza-5/guide/
Zack Zero,PS3(PSN),True,False,3,4,False,Platformer,2012-01-17,https://www.playstationtrophies.org/game/zack-zero/guide/
ZEN Pinball 2,PS3(PSN),True,False,4,3,False,Simulation,2012-09-04,https://www.playstationtrophies.org/game/zen-pinball-2/guide/
Zeno Clash II,PS3(PSN),True,False,3,20,True,Action,2013-07-23,https://www.playstationtrophies.org/game/zeno-clash-ii/guide/
Ziggurat,PS4,True,True,6,50,False,Shooter,2015-04-21,https://www.playstationtrophies.org/game/ziggurat/guide/
Zombie Vikings,PS4,True,True,4,20,False,Action,2015-09-01,https://www.playstationtrophies.org/game/zombie-vikings/guide/
Zombie Tycoon II: Brainhov's Revenge,PS3(PSN),True,True,4,20,True,Strategy,2013-04-30,https://www.playstationtrophies.org/game/zombie-tycoon-2-brainhovs-revenge/guide/
Zotrix,PS4,True,True,3,20,False,Shmup,2015-12-08,https://www.playstationtrophies.org/game/zotrix/guide/
