Name,Platform,HasGuide,HasPlatinum,Difficulty,TimeToComplete,HasOnlineTrophies,Genre,Release(US),Guide
Prey (2017),PS4,True,True,4,50,False,Shooter RPG,2017-05-05,https://www.playstationtrophies.org/game/prey-2017/guide/
Primal,PS4,True,False,3,20,False,Action Adventure,n/a,https://www.playstationtrophies.org/game/primal/guide/
Professional Farmer 2017,PS4,False,False,n/a,n/a,n/a,Simulation,n/a,https://www.playstationtrophies.org/game/farming-simulator-17/guide/
Project Cars,PS4,True,True,3,100,True,Racing,2015-05-12,https://www.playstationtrophies.org/game/project-cars/guide/
Project Cars 2,PS4,True,True,3,50,True,Racing,2017-09-22,https://www.playstationtrophies.org/game/project-cars-2/guide/
Proteus,PS3(PSN),True,False,2,5,False,Simulation Adventure,2013-10-29,https://www.playstationtrophies.org/game/proteus/guide/
Pumped BMX+,PS4,True,False,6,40,False,Racing,2015-09-22,https://www.playstationtrophies.org/game/pumped-bmx-plus/guide/
Puppeteer,PS3,True,True,5,40,False,Adventure Adventure,2013-09-10,https://www.playstationtrophies.org/game/puppeteer/guide/
Pure Hold 'Em,PS4,False,False,n/a,n/a,n/a,Card and Board,2015-08-18,https://www.playstationtrophies.org/game/pure-hold-em/guide/
Pure Pool,PS4,True,True,10,150,True,Sports and Fitness,n/a,https://www.playstationtrophies.org/game/pure-pool/guide/
Nelson Tethers:  Puzzle Agent,PS3(PSN),True,False,1,2,False,Adventure,2011-04-19,https://www.playstationtrophies.org/game/nelson-tethers-puzzle-agent/guide/
Q*Bert: Rebooted,PS4(PSN),True,False,8,20,False,Action,2015-02-17,https://www.playstationtrophies.org/game/qbert-rebooted/guide/
Quantum Theory,PS3,True,True,7,50,True,Shooter,2010-09-28,https://www.playstationtrophies.org/game/quantum-theory/guide/
R-Type Dimensions,PS3(PSN),True,False,4,10,False,Shooter,2014-05-20,https://www.playstationtrophies.org/game/r-type-dimensions/guide/
Rad Rodgers,PS4,False,False,n/a,n/a,n/a,Action Adventure,2018-02-21,https://www.playstationtrophies.org/game/rad-rodgers/guide/
Rag Doll Kung Fu: Fists of Plastic,PS3(PSN),True,False,6,5,False,Fighting,2009-04-09,https://www.playstationtrophies.org/game/rag-doll-kung-fu-fists-of-plastic/guide/
Rage,PS3,True,True,5,20,True,Shooter,2011-10-04,https://www.playstationtrophies.org/game/rage/guide/
Ragnarok Odyssey Ace,PS3,True,True,7,100,True,RPG Action,2014-04-01,https://www.playstationtrophies.org/game/ragnarok-odyssey-ace/guide/
Raiden IV Overkill,PS3(PSN),True,True,8,500,False,Shooter,2014-04-29,https://www.playstationtrophies.org/game/raiden-iv-overkill/guide/
Raiden V: Director’s Cut,PS4,True,True,5,30,True,Shmup,2017-10-10,https://www.playstationtrophies.org/game/raiden-v-directors-cut-na-eu/guide/
Rain,PS3(PSN),True,False,1,7,False,Adventure,2013-10-01,https://www.playstationtrophies.org/game/rain/guide/
Rainbow Moon  (Retail),PS4,False,True,n/a,n/a,n/a,RPG,n/a,https://www.playstationtrophies.org/game/rainbow-moon-ps4/guide/
Rapala Fishing: Pro Series,PS4,False,True,n/a,n/a,n/a,Sports and Fitness,2017-10-24,https://www.playstationtrophies.org/game/rapala-fishing-pro-series/guide/
Ratatouille,PS3(no_trophies),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Ratchet &amp; Clank: A Crack in Time,PS3,True,True,2,25,True,Action,2009-10-27,https://www.playstationtrophies.org/game/ratchet-and-clank-a-crack-in-time/guide/
Ratchet &amp; Clank: All 4 One,PS3,True,True,2,20,True,Action,2011-10-18,https://www.playstationtrophies.org/game/ratchet-and-clank-all-4-one/guide/
Ratchet &amp; Clank: Full Frontal Assault,PS3(PSN),True,True,3,15,True,Action,2012-11-27,https://www.playstationtrophies.org/game/ratchet-and-clank-full-frontal-assault/guide/
Ratchet &amp; Clank: Into the Nexus,PS3,True,True,2,15,False,Action Adventure,2013-11-12,https://www.playstationtrophies.org/game/ratchet-and-clank-into-the-nexus/guide/
Ratchet & Clank Future: Quest for Booty,PS3(no_trophies),n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Real Farm,PS4,True,True,2,6,False,Simulation,2017-10-20,https://www.playstationtrophies.org/game/real-farm/guide/
RAW: Realms of Ancient War (NA & EU),PS3(PSN),True,False,2,25,False,Action,2012-09-25,https://www.playstationtrophies.org/game/raw-realms-of-ancient-war/guide/
Rebel Galaxy,PS4,True,True,2,75,False,Action,2016-01-05,https://www.playstationtrophies.org/game/rebel-galaxy/guide/
Record of Agarest War,PS3(PSN),True,True,8,150,False,RPG Strategy,2010-04-29,https://www.playstationtrophies.org/game/record-of-agarest-war/guide/
Record of Agarest War 2,PS3,True,True,5,40,True,RPG Strategy,2012-06-26,https://www.playstationtrophies.org/game/record-of-agarest-war-2-english/guide/
Record of Agarest War Zero,PS3,True,True,9,200,False,RPG Strategy,2011-06-14,https://www.playstationtrophies.org/game/record-of-agarest-war-zero-us/guide/
Red Dead Redemption,PS3,True,True,7,70,True,Action,2010-05-18,https://www.playstationtrophies.org/game/red-dead-redemption/guide/
Red Faction,PS4,True,True,6,30,False,Shooter,2016-12-22,https://www.playstationtrophies.org/game/red-faction/guide/
Red Faction 2,PS4,False,True,n/a,n/a,n/a,Action,2017-08-29,https://www.playstationtrophies.org/game/red-faction-2/guide/
Red Faction Battlegrounds,PS3(PSN),True,False,4,5,False,Shooter,2011-04-05,https://www.playstationtrophies.org/game/red-faction-battlegrounds/guide/
Red Faction: Guerrilla,PS3,True,True,8,200,True,Shooter,2009-06-02,https://www.playstationtrophies.org/game/red-faction-guerilla/guide/
Red Faction: Guerrilla Re-Mars-tered,PS4,True,True,6,65,True,Shooter,2018-07-03,https://www.playstationtrophies.org/game/red-faction-guerrilla-re-mars-tered/guide/
Red Johnson’s Chronicles: One Against All,PS3(PSN),True,False,unknown,6,False,Adventure Puzzle and Word,2012-09-11,https://www.playstationtrophies.org/game/red-johnsons-chronicles-one-against-all/guide/
Red Johnson's Chronicles,PS3(PSN),True,False,3,10,False,Adventure Puzzle and Word,2011-04-19,https://www.playstationtrophies.org/game/red-johnsons-chronicles/guide/
Renegade Ops,PS3(PSN),True,False,5,30,False,Action,2011-09-13,https://www.playstationtrophies.org/game/renegade-ops/guide/
Resident Evil 4,PS4,True,False,4,25,False,Action Shooter,2016-08-30,https://www.playstationtrophies.org/game/resident-evil-4-ps4/guide/
Resident Evil 5,PS3,True,True,5,30,False,Action Shooter,2009-03-13,https://www.playstationtrophies.org/game/resident-evil-5/guide/
Resident Evil 6,PS3,True,True,4,50,False,Action Shooter,2012-10-02,https://www.playstationtrophies.org/game/resident-evil-6-ps3/guide/
Resident Evil Code: Veronica X,PS3(PSN),True,False,5,10,False,Action Action,2011-09-27,https://www.playstationtrophies.org/game/resident-evil-code-veronica-x/guide/
Resident Evil Operation Raccoon City,PS3,True,True,7,35,True,Action Shooter,2012-03-20,https://www.playstationtrophies.org/game/resident-evil-operation-raccoon-city/guide/
Resident Evil Revelations,PS3,True,True,7,30,True,Action Shooter,2013-05-21,https://www.playstationtrophies.org/game/resident-evil-revelations/guide/
